ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Row0,Classify_Row1,Classify_Row2,Classify_Row3,Classify_Row4,Classify_Row5,Classify_Row6,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_NaturalSpots
25,3,14437,522.0,97.0,1.0,1.0005586287080994,0.15597481541067937,1.0,0.7805471453287197,0.8926247225891677,136.204098859813,137.3608386695422,66.57326790837296,22.642013039252703,19.924858845171276,132.8224378634875,134.53710129513843,57.57603190786441,450.8259999999986,0.9853934884990786,0,1,0,0,0,0,0,522.42460344947,96.68178984553577,3,3
25,4,14027,742.0,95.0,1.0,1.002756439506149,0.28990972683624433,1.0,0.7871492704826039,0.8497764492671176,136.483334870788,136.7808466123821,61.40032573203501,21.794205000193575,19.209372712298546,130.53940251245447,130.62192095605567,13.99418066113935,455.4439999999988,0.9744694154017159,0,1,0,0,0,0,0,738.7826334925501,94.1606188065873,4,4
25,5,13706,967.0,112.0,1.0,1.0451847142372692,0.3615992685955628,0.0,0.7149713093375065,0.5313196027099305,139.44648981353933,141.42842712835352,40.049968789001575,14.178674630887725,13.038404810405298,132.4563841545904,130.01064989398492,84.34633157729667,569.353999999998,0.9166360140444744,0,1,0,0,0,0,0,954.1126513935503,89.8601342477747,5,5
25,6,9134,1215.0,68.0,1.0,1.3565787614153888,0.372896518177981,2.0,0.4796513154439952,0.16897092209551268,129.98635703677496,139.5886814895821,18.027756377319946,6.9056806872417305,6.4031242374328485,117.28649517834316,120.61082283958224,13.716275904698119,824.1939999999972,0.7234851485148515,0,1,0,0,0,0,0,1172.8790234289468,82.23472739216116,6,6
25,7,15841,95.0,320.0,1.0,1.002772894773761,0.3530274554678755,1.0,0.7856080142828804,0.887299096834199,146.5961145582565,147.98986451781082,68.24221567329127,23.66958550179005,20.8806130178211,136.98911115335275,137.15722503972216,44.38991782152919,473.65399999999863,0.9862101167315173,0,0,1,0,0,0,0,96.37377690802349,321.7143488416135,7,7
25,8,14148,315.0,320.0,1.0,1.0008856656638463,0.20343664394780334,1.0,0.787926041434618,0.9042531509674131,135.44290349303688,136.5283853270081,64.81512169239521,22.461704472286733,19.79898987322333,132.2464517482416,132.6105367228642,55.994339611659,443.41199999999867,0.9875405716678883,0,0,1,0,0,0,0,314.72526152106303,319.3049901046084,8,8
25,9,13387,529.0,316.0,1.0,1.0008322212483711,0.22374804469719023,1.0,0.7742625795257374,0.8955529405720674,132.04181938491112,132.9135057095403,63.50590523722971,21.777994611163155,19.1049731745428,128.13574532802792,128.6941657043226,53.13378165480069,433.41199999999867,0.9845916228441143,0,0,1,0,0,0,0,528.6827519235079,315.8844401284829,9,9
25,10,12810,750.0,320.0,1.0,1.007284565668027,0.3066699831218862,0.0,0.7581676136363636,0.6965741992665203,131.06898550551855,133.52153384379613,50.00999900019995,18.252108645620172,16.0,125.95387955629195,124.7535453621427,-1.5898004702503115,480.72399999999857,0.9636288411629742,0,0,1,0,0,0,0,742.7124902419985,309.98524590163936,10,10
25,11,9615,947.0,311.0,1.0,1.208707750598102,0.36979051996941137,-2.0,0.5604126595558664,0.14054581796943638,125.81191496902998,132.6386067478093,20.396078054371138,6.423441654940001,6.0,122.80792382353084,116.89375688339588,-74.36625300392197,927.1939999999972,0.7547688201585682,0,0,1,0,0,0,0,955.1291731669266,307.1748309932397,11,11
25,12,3879,1170.0,285.0,1.0,1.7348318050957339,0.7837957130447334,3.0,0.4327309236947791,0.22463746716992192,111.03947629085614,112.57886124845996,16.492422502470642,5.775245388935807,5.0990195135927845,71.6382219524679,68.95759608387948,58.411074049820975,465.82599999999866,0.653910991233985,0,0,1,0,0,0,0,1182.6468161897396,282.8827017272493,12,12
